id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Ocean Static,Tideglass,edm,euphoric,0.88,128,0.76,0.91,0.08
12,Candlelight Letters,Willow Choir,folk,tender,0.22,68,0.64,0.38,0.95
13,Velvet Avenue,City Honey,r&b,sensual,0.57,96,0.72,0.83,0.32
14,Pixel Heartbeat,Arcade Flora,hyperpop,chaotic,0.94,150,0.68,0.93,0.04
15,Morning Pages,Quiet Harbor,acoustic,reflective,0.31,74,0.58,0.47,0.97
16,Golden Hour Run,Solar Sprint,indie,happy,0.79,122,0.83,0.81,0.28
